INT	STRING	INT	INT	STRING	STRING	STRING	STRING	INT	INT	STRING	INT	INT	INT	INT	STRING	STRING	STRING	STRING	STRING	STRING	STRING
226	小木人巷3	96	96	newbie_1.scene	newbie_1.path	newbie_1.wCollision	qiongzhou.jpg	416	60000	newbie_1	0	0	0	0	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	苍茫山	0.0;0.0
227	后花园2	128	128	newbie_2.scene	newbie_2.path	newbie_2.wCollision	qiongzhou.jpg	416	60000	newbie_2	0	0	0	0	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	苍茫山	0.0;0.0
228	后花园3	128	128	newbie_2.scene	newbie_2.path	newbie_2.wCollision	qiongzhou.jpg	416	60000	newbie_2	0	0	0	0	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	苍茫山	0.0;0.0
229	银皑雪原	256	256	bingkang.scene	bingkang.path	bingkang.wCollision	qiongzhou.jpg	147	60000	bingkang	647	65	648	45	Sign25	MiniMap_Icon3	Yinaixueyuan_Normal	MiniMap_Icon3	Yinaixueyuan_Normal	野外场景#r怪物等级75-80#r怪物种类：#r企鹅、企鹅王、#r雪原狼、银皑雪人、#r雪原莽盖。	0.2;0.2
230	镜湖匪寨	192	192	jiaofei.scene	jiaofei.path	jiaofei.wCollision	qiongzhou.jpg	147	60000	jiaofei	0	0	0	0	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	苍茫山	0.0;0.0
231	野猪农场	128	128	zhenshoulan.scene	zhenshoulan.path	zhenshoulan.Wcollision	zhenshoulan.jpg	147	60000	zhenshoulan	0	0	0	0	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	野猪农场	0.0;0.0
232	圣兽山副本	256	256	petisland_2.scene	petisland_2.path	petisland_2.Wcollision	petisland_2.jpg	147	60000	petisland_2	0	0	0	0	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	圣兽山副本	0.0;0.0
233	牡丹碗	128	128	cuju.scene	cuju.path	cuju.Wcollision	cuju.jpg	117	60000	cuju	0	0	0	0	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	牡丹碗	0.0;0.0
234	嵩山封禅台	192	192	jingjichang.scene	jingjichang.path	jingjichang.Wcollision	jingjichang.jpg	120	60000	jingjichang	680	525	680	550	Sign26	MiniMap_Icon3	FengShanTai_Normal	MiniMap_Icon3	FengShanTai_Normal	封禅台：争夺武林盟主的战场	0.0;0.0
235	盐湖	256	256	yanhu.scene	yanhu.path	yanhu.WCollision	yanhu.jpg	147	60000	yanhu	204	760	204	776	Sign3	MiniMap_Icon3	YanHu_Normal	MiniMap_Icon3	YanHu_Normal	盐湖：野外场景#r怪物等级84-89#r怪物种类：#r盐湖熊、盐湖鳄鱼#r挖盐木人、挖盐苦工#r偃师监工、偃师守卫。	0.0;0.0
236	燕子坞	256	256	yanziwu.scene	yanziwu.path	yanziwu.Wcollision	yanziwu.jpg	494	60000	yanziwu	0	0	0	0	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	燕子坞	0.0;0.0
237	白沙盐坑	128	128	yankeng.scene	yankeng.path	yankeng.Wcollision	yankeng.jpg	147	60000	yankeng	187	748	187	735	Sign19	MiniMap_Icon3	Baishayankeng_Normal	MiniMap_Icon3	Baishayankeng_Hover	由盐湖进入#r怪物等级84-89#r怪物种类：#r盐湖熊、盐湖鳄鱼#r挖盐木人、挖盐苦工#r偃师监工、偃师守卫。	0.0;0.0
238	洛阳第一休息室	64	64	qijvxiuxi_1.Scene	qijvxiuxi_1.path	qijvxiuxi_1.WCollision	qijvxiuxi_1.jpg	18	60000	qijvxiuxi_1	0	0	0	0	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	洛阳第一休息室	0.0;0.0
239	洛阳第二休息室	64	64	qijvxiuxi_2.Scene	qijvxiuxi_2.path	qijvxiuxi_2.WCollision	qijvxiuxi_2.jpg	18	60000	qijvxiuxi_2	0	0	0	0	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	洛阳第二休息室	0.0;0.0
240	大理休息室	64	64	qijvxiuxi_3.Scene	qijvxiuxi_3.path	qijvxiuxi_3.WCollision	qijvxiuxi_3.jpg	101	60000	qijvxiuxi_3	0	0	0	0	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	大理休息室	0.0;0.0
241	苏州休息室	64	64	qijvxiuxi_4.Scene	qijvxiuxi_4.path	qijvxiuxi_4.WCollision	qijvxiuxi_4.jpg	19	60000	qijvxiuxi_4	0	0	0	0	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	苏州休息室	0.0;0.0
242	洛阳	320	320	luoyangsnow.Scene	luoyang.path	luoyang.wCollision	luoyangsnow.jpg	123	60000	luoyangsnow	0	0	590	418	Sign5	MiniMap_Icon2	LuoYang_Normal	MiniMap_Icon2	LuoYang_Hover	城市-洛阳	0.2;0.2
243	寒玉谷	96	96	hanyuchuang.Scene	hanyuchuang.path	hanyuchuang.wCollision	hanyuchuang.jpg	122	60000	hanyuchuang	0	0	0	0	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	寒玉谷	0.0;0.0
244	火焰山	256	256	huoyanshan.Scene	huoyanshan.path	huoyanshan.wCollision	huoyanshan.jpg	500	60000	huoyanshan	269	253	269	278	Sign50	MiniMap_Icon4	Huoyanshan_Normal	MiniMap_Icon4	Huoyanshan_Hover	野外场景#r怪物等级90-95#r怪物种类：#r西域马匪、荒原蝎#r北方盗贼、翼牛#r北方强盗、铁翼牛，#r生活原材料分布#r（9-10级）：#r真武矿矿脉、#r龙血矿矿脉、#r昆山矿矿脉、#r众生矿矿脉、#r冬虫夏草、龙葵籽、#r胭脂鱼（166，119）、#r翘嘴红鮊（170，119）。	0.2;0.2
245	高昌	256	256	gaochang.Scene	gaochang.path	gaochang.wCollision	gaochang.jpg	501	60000	gaochang	210	313	210	337	Sign48	MiniMap_Icon4	Gaochang_Normal	MiniMap_Icon4	Gaochang_Hover	野外场景#r怪物等级95-100#r怪物种类：#r废墟恐蝎、骷髅兵#r西域萨满、西域巫医#r西域窃贼、西域劫匪，#r生活原材料分布#r（9-10级）：#r真武矿矿脉、#r龙血矿矿脉、#r昆山矿矿脉、#r众生矿矿脉、#r冬虫夏草、龙葵籽、#r胭脂鱼（107，69）、#r翘嘴红鮊（95，44）。	0.2;0.2
246	楼兰	320	320	loulangucheng.Scene	loulangucheng.path	loulangucheng.wCollision	loulangucheng.jpg	505	60000	loulangucheng	130	270	130	304	Sign47	MiniMap_Icon4	Loulan_Normal	MiniMap_Icon4	Loulan_Hover	城市-楼兰	0.2;0.2
247	塔里木	256	256	talimu.Scene	talimu.path	talimu.wCollision	talimu.jpg	504	60000	talimu	110	378	110	397	Sign3	MiniMap_Icon4	Talimu_Normal	MiniMap_Icon4	Talimu_Hover	野外场景#r怪物等级100-105#r怪物种类：#r食腐鸟、沙漠野人#r沙尘、沙漠鬣狗#r沙漠战士、沙漠巫师，#r生活原材料分布#r（9-10级）：#r真武矿矿脉、#r龙血矿矿脉、#r昆山矿矿脉、#r众生矿矿脉、#r象贝、人参、#r胭脂鱼（47，193）、#r翘嘴红鮊（50，190）。	0.2;0.2
248	昆仑山	256	256	kunlunshan.Scene	kunlunshan.path	kunlunshan.wCollision	kunlunshan.jpg	122	60000	kunlunshan	66	422	66	446	Sign51	MiniMap_Icon4	Kunlunshan_Normal	MiniMap_Icon4	Kunlunshan_Hover	昆仑山-待开放	0.2;0.2
249	大宛	256	256	dawan.Scene	dawan.path	dawan.wCollision	dawan.jpg	2038	60000	dawan	54	286	54	305	Sign3	MiniMap_Icon4	Dawan_Normal	MiniMap_Icon4	Dawan_Hover	野外场景#r怪物等级105-110#r怪物种类：#r大宛马、马场守卫#r驯马师、辽国战士#r辽国萨满，#r生活原材料分布#r（9-10级）：#r真武矿矿脉、#r龙血矿矿脉、#r昆山矿矿脉、#r众生矿矿脉、#r象贝、人参、#r胭脂鱼（130，75）、#r翘嘴红鮊（124，123）。	0.2;0.2
250	撒马尔罕	256	256	samaerhan.Scene	samaerhan.path	samaerhan.wCollision	samaerhan.jpg	122	60000	samaerhan	80	191	80	219	Sign49	MiniMap_Icon4	Samaerhan_Normal	MiniMap_Icon4	Samaerhan_Hover	撒马尔罕-待开放	0.2;0.3
251	火焰谷	128	128	huoyangu.Scene	huoyangu.path	huoyangu.wCollision	huoyangu.jpg	122	60000	huoyangu	291	235	291	223	Sign19	MiniMap_Icon5	Huoyangu_Normal	MiniMap_Icon5	Huoyangu_Hover	由火焰山进入#r怪物等级90-95#r怪物种类：#r西域马匪、荒原蝎、#r北方盗贼、翼牛、#r北方强盗、铁翼牛。	0.2;0.2
252	高昌迷宫	128	128	gaochangmigong.Scene	gaochangmigong.path	gaochangmigong.wCollision	gaochangmigong.jpg	122	60000	gaochangmigong	244	317	257	329	Sign19	MiniMap_Icon5	Gaochangmigong_Normal	MiniMap_Icon5	Gaochangmigong_Hover	由高昌进入#r怪物等级95-100#r怪物种类：#r废墟恐蝎、骷髅兵、#r西域萨满、西域巫医、#r西域窃贼、西域劫匪。	0.2;0.2
253	塔克拉玛干	128	128	takelamagan.Scene	takelamagan.path	takelamagan.wCollision	takelamagan.jpg	122	60000	takelamagan	135	375	157	362	Sign19	MiniMap_Icon5	Takelamagan_Normal	MiniMap_Icon5	Takelamagan_Hover	由塔里木进入#r怪物等级100-105#r怪物种类：#r食腐鸟、沙漠野人#r沙尘、沙漠鬣狗#r沙漠战士、沙漠巫师。	0.2;0.2
254	昆仑福地	128	128	kunlunfudi.Scene	kunlunfudi.path	kunlunfudi.wCollision	kunlunfudi.jpg	122	60000	kunlunfudi	105	424	119	438	Sign53	MiniMap_Icon5	Kunlunfudi_Normal	MiniMap_Icon5	Kunlunfudi_Hover	昆仑福地-待开放	0.2;0.2
255	汗血岭	128	128	hanxieling.Scene	hanxieling.path	hanxieling.wCollision	hanxieling.jpg	2038	60000	hanxieling	31	287	21	302	Sign19	MiniMap_Icon5	Hanxieling_Normal	MiniMap_Icon5	Hanxieling_Hover	由大宛进入#r怪物等级105-110#r怪物种类：#r大宛马、马场守卫#r驯马师、辽国战士#r辽国萨满。	0.2;0.2
256	圣火宫	128	128	shenghuogong.Scene	shenghuogong.path	shenghuogong.wCollision	shenghuogong.jpg	122	60000	shenghuogong	103	182	113	194	Sign53	MiniMap_Icon5	Shenghuogong_Normal	MiniMap_Icon5	Shenghuogong_Hover	圣火宫-待开放	0.2;0.2
257	足球场	96	96	zuqiuchang.scene	zuqiuchang.path	zuqiuchang.wCollision	zuqiuchang.jpg	122	60000	zuqiuchang	0	0	0	0	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	足球场	0.0;0.0
258	篮球场	96	96	lanqiuchang.scene	lanqiuchang.path	lanqiuchang.wCollision	lanqiuchang.jpg	122	60000	lanqiuchang	0	0	0	0	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	篮球场	0.0;0.0
259	排球场	96	96	paiqiuchang.scene	paiqiuchang.path	paiqiuchang.wCollision	paiqiuchang.jpg	122	60000	paiqiuchang	0	0	0	0	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	排球场	0.0;0.0
260	束河古镇	320	320	shuhe.scene	shuhe.path	shuhe.wCollision	shuhe.jpg	2034	60000	shuhe	217	630	217	656	Sign54	MiniMap_Icon5	Suheguzhen_Normal	MiniMap_Icon5	Suheguzhen_Hover	束河古镇	0.2;0.2
261	缥缈峰	192	192	piaomiao.scene	piaomiao.path	piaomiao.wCollision	piaomiao.jpg	2037	30000	piaomiao	0	0	0	0	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	缥缈峰	0.0;0.0
262	秦皇地宫一层	256	256	qinhuanggong_1.scene	qinhuanggong_1.path	qinhuanggong_1.wCollision	qinhuanggong_1.jpg	146	60000	qinhuanggong_1	404	338	404	370	Sign55	MiniMap_Icon5	qinhuanggong_Normal	MiniMap_Icon5	qinhuanggong_Hover	秦皇地宫#r野外场景#r怪物等级：65-80#r怪物种类：#r盗墓贼、墓穴甲虫、地宫工匠、幽禁守卫、秦皇精兵俑、地宫幽灵、机关石人、幽灵祭祀、秦将护卫、秦将侍卫、机关守卫、秦皇之魄。	0.0;0.0
263	秦皇地宫二层	256	256	qinhuanggong_2.scene	qinhuanggong_2.path	qinhuanggong_2.wCollision	qinhuanggong_2.jpg	147	60000	qinhuanggong_2	0	0	0	0	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	秦皇地宫二层	0.0;0.0
264	秦皇地宫三层	256	256	qinhuanggong_3.scene	qinhuanggong_3.path	qinhuanggong_3.wCollision	qinhuanggong_3.jpg	148	60000	qinhuanggong_3	0	0	0	0	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	秦皇地宫三层	0.0;0.0
265	玄雷坡	256	256	xuanmuchang.Scene	xuanmuchang.path	xuanmuchang.WCollision	xuanmuchang.jpg	142	60000	xuanmuchang	0	0	0	0	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	玄雷坡	0.0;0.0
266	毒障泽地	256	256	dumuchang.Scene	dumuchang.path	dumuchang.WCollision	dumuchang.jpg	143	60000	dumuchang	0	0	0	0	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	毒障泽地	0.0;0.0
267	熔岩之地	256	256	huomuchang.Scene	huomuchang.path	huomuchang.WCollision	huomuchang.jpg	146	60000	huomuchang	0	0	0	0	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	熔岩之地	0.0;0.0
268	玄武岛	320	320	petisland_3.Scene	petisland_3.path	petisland_3.WCollision	petisland_3.jpg	116	60000	petisland_3	0	0	0	0	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	玄武岛	0.0;0.0
269	楼兰藏宝洞	128	128	loulanxunbao.Scene	loulanxunbao.path	loulanxunbao.WCollision	loulanxunbao.jpg	120	60000	loulanxunbao	0	0	0	0	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	楼兰藏宝洞	0.0;0.0
270	涿鹿	256	256	zhuluKVK.Scene	zhuluKVK.path	zhuluKVK.WCollision	zhuluKVK.jpg	506	60000	zhuluKVK	0	0	0	0	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	缥缈峰	0.0;0.0
271	亮马驿	64	64	qijvxiuxi_5.Scene	qijvxiuxi_5.path	qijvxiuxi_5.WCollision	qijvxiuxi_5.jpg	18	60000	qijvxiuxi_5	0	0	0	0	Sign1	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	亮马驿	0.0;0.0
501	塞外 1	192	192	塞外 1.Scene	PCity.path	PCity_Level_1.WCollision	shaolin.jpg	122	60000	PCity	0	0	0	0	Sign2	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	玩家城市	0.0;0.0
502	塞外 2	192	192	塞外 2.Scene	PCity.path	PCity_Level_2.WCollision	shaolin.jpg	122	60000	PCity	0	0	0	0	Sign3	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	玩家城市	0.0;0.0
503	塞外 3	192	192	塞外 3.Scene	PCity.path	PCity_Level_3.WCollision	shaolin.jpg	122	60000	PCity	0	0	0	0	Sign4	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	玩家城市	0.0;0.0
504	塞外 4	192	192	塞外 4.Scene	PCity.path	PCity_Level_4.WCollision	shaolin.jpg	122	60000	PCity	0	0	0	0	Sign5	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	玩家城市	0.0;0.0
505	塞外 5	192	192	塞外 5.Scene	PCity.path	PCity_Level_5.WCollision	shaolin.jpg	122	60000	PCity	0	0	0	0	Sign6	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	玩家城市	0.0;0.0
506	岭南 1	192	192	岭南 1.Scene	PCity.path	PCity_Level_1.WCollision	shaolin.jpg	122	60000	PCity	0	0	0	0	Sign7	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	玩家城市	0.0;0.0
507	岭南 2	192	192	岭南 2.Scene	PCity.path	PCity_Level_2.WCollision	shaolin.jpg	122	60000	PCity	0	0	0	0	Sign8	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	玩家城市	0.0;0.0
508	岭南 3	192	192	岭南 3.Scene	PCity.path	PCity_Level_3.WCollision	shaolin.jpg	122	60000	PCity	0	0	0	0	Sign9	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	玩家城市	0.0;0.0
509	岭南 4	192	192	岭南 4.Scene	PCity.path	PCity_Level_4.WCollision	shaolin.jpg	122	60000	PCity	0	0	0	0	Sign10	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	玩家城市	0.0;0.0
510	岭南 5	192	192	岭南 5.Scene	PCity.path	PCity_Level_5.WCollision	shaolin.jpg	122	60000	PCity	0	0	0	0	Sign11	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	玩家城市	0.0;0.0
511	杭州 1	192	192	杭州 1.Scene	PCity.path	PCity_Level_1.WCollision	shaolin.jpg	122	60000	PCity	0	0	0	0	Sign12	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	玩家城市	0.0;0.0
512	杭州 2	192	192	杭州 2.Scene	PCity.path	PCity_Level_2.WCollision	shaolin.jpg	122	60000	PCity	0	0	0	0	Sign13	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	玩家城市	0.0;0.0
513	杭州 3	192	192	杭州 3.Scene	PCity.path	PCity_Level_3.WCollision	shaolin.jpg	122	60000	PCity	0	0	0	0	Sign14	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	玩家城市	0.0;0.0
514	杭州 4	192	192	杭州 4.Scene	PCity.path	PCity_Level_4.WCollision	shaolin.jpg	122	60000	PCity	0	0	0	0	Sign15	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	玩家城市	0.0;0.0
515	杭州 5	192	192	杭州 5.Scene	PCity.path	PCity_Level_5.WCollision	shaolin.jpg	122	60000	PCity	0	0	0	0	Sign16	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	玩家城市	0.0;0.0
516	海口 1	192	192	海口 1.Scene	PCity.path	PCity_Level_1.WCollision	shaolin.jpg	122	60000	PCity	0	0	0	0	Sign17	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	玩家城市	0.0;0.0
517	海口 2	192	192	海口 2.Scene	PCity.path	PCity_Level_2.WCollision	shaolin.jpg	122	60000	PCity	0	0	0	0	Sign18	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	玩家城市	0.0;0.0
518	海口 3	192	192	海口 3.Scene	PCity.path	PCity_Level_3.WCollision	shaolin.jpg	122	60000	PCity	0	0	0	0	Sign19	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	玩家城市	0.0;0.0
519	海口 4	192	192	海口 4.Scene	PCity.path	PCity_Level_4.WCollision	shaolin.jpg	122	60000	PCity	0	0	0	0	Sign20	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	玩家城市	0.0;0.0
520	海口 5	192	192	海口 5.Scene	PCity.path	PCity_Level_5.WCollision	shaolin.jpg	122	60000	PCity	0	0	0	0	Sign21	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	玩家城市	0.0;0.0
521	滇 域1	192	192	滇 域1.Scene	PCity.path	PCity_Level_1.WCollision	shaolin.jpg	122	60000	PCity	0	0	0	0	Sign22	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	玩家城市	0.0;0.0
522	滇 域2	192	192	滇 域2.Scene	PCity.path	PCity_Level_2.WCollision	shaolin.jpg	122	60000	PCity	0	0	0	0	Sign23	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	玩家城市	0.0;0.0
523	滇 域3	192	192	滇 域3.Scene	PCity.path	PCity_Level_3.WCollision	shaolin.jpg	122	60000	PCity	0	0	0	0	Sign24	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	玩家城市	0.0;0.0
524	滇 域4	192	192	滇 域4.Scene	PCity.path	PCity_Level_4.WCollision	shaolin.jpg	122	60000	PCity	0	0	0	0	Sign25	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	玩家城市	0.0;0.0
525	滇 域5	192	192	滇 域5.Scene	PCity.path	PCity_Level_5.WCollision	shaolin.jpg	122	60000	PCity	0	0	0	0	Sign26	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	玩家城市	0.0;0.0
526	石城  1	192	192	石城  1.Scene	PCity.path	PCity_Level_1.WCollision	shaolin.jpg	122	60000	PCity	0	0	0	0	Sign27	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	玩家城市	0.0;0.0
527	石城  2	192	192	石城  2.Scene	PCity.path	PCity_Level_2.WCollision	shaolin.jpg	122	60000	PCity	0	0	0	0	Sign28	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	玩家城市	0.0;0.0
528	石城  3	192	192	石城  3.Scene	PCity.path	PCity_Level_3.WCollision	shaolin.jpg	122	60000	PCity	0	0	0	0	Sign29	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	玩家城市	0.0;0.0
529	石城  4	192	192	石城  4.Scene	PCity.path	PCity_Level_4.WCollision	shaolin.jpg	122	60000	PCity	0	0	0	0	Sign30	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	玩家城市	0.0;0.0
530	石城  5	192	192	石城  5.Scene	PCity.path	PCity_Level_5.WCollision	shaolin.jpg	122	60000	PCity	0	0	0	0	Sign31	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	玩家城市	0.0;0.0
531	苗域 1	192	192	苗域 1.Scene	PCity.path	PCity_Level_1.WCollision	shaolin.jpg	122	60000	PCity	0	0	0	0	Sign32	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	玩家城市	0.0;0.0
532	苗域 2	192	192	苗域 2.Scene	PCity.path	PCity_Level_2.WCollision	shaolin.jpg	122	60000	PCity	0	0	0	0	Sign33	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	玩家城市	0.0;0.0
533	苗域 3	192	192	苗域 3.Scene	PCity.path	PCity_Level_3.WCollision	shaolin.jpg	122	60000	PCity	0	0	0	0	Sign34	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	玩家城市	0.0;0.0
534	苗域 4	192	192	苗域 4.Scene	PCity.path	PCity_Level_4.WCollision	shaolin.jpg	122	60000	PCity	0	0	0	0	Sign35	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	玩家城市	0.0;0.0
535	苗域 5	192	192	苗域 5.Scene	PCity.path	PCity_Level_5.WCollision	shaolin.jpg	122	60000	PCity	0	0	0	0	Sign36	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	玩家城市	0.0;0.0
536	辽地 1	192	192	辽地 1.Scene	PCity.path	PCity_Level_1.WCollision	shaolin.jpg	122	60000	PCity	0	0	0	0	Sign37	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	玩家城市	0.0;0.0
537	辽地 2	192	192	辽地 2.Scene	PCity.path	PCity_Level_2.WCollision	shaolin.jpg	122	60000	PCity	0	0	0	0	Sign38	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	玩家城市	0.0;0.0
538	辽地 3	192	192	辽地 3.Scene	PCity.path	PCity_Level_3.WCollision	shaolin.jpg	122	60000	PCity	0	0	0	0	Sign39	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	玩家城市	0.0;0.0
539	辽地 4	192	192	辽地 4.Scene	PCity.path	PCity_Level_4.WCollision	shaolin.jpg	122	60000	PCity	0	0	0	0	Sign40	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	玩家城市	0.0;0.0
540	辽地 5	192	192	辽地 5.Scene	PCity.path	PCity_Level_5.WCollision	shaolin.jpg	122	60000	PCity	0	0	0	0	Sign41	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	玩家城市	0.0;0.0
541	雁门 1	192	192	雁门 1.Scene	PCity.path	PCity_Level_1.WCollision	shaolin.jpg	122	60000	PCity	0	0	0	0	Sign42	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	玩家城市	0.0;0.0
542	雁门 2	192	192	雁门 2.Scene	PCity.path	PCity_Level_2.WCollision	shaolin.jpg	122	60000	PCity	0	0	0	0	Sign43	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	玩家城市	0.0;0.0
543	雁门 3	192	192	雁门 3.Scene	PCity.path	PCity_Level_3.WCollision	shaolin.jpg	122	60000	PCity	0	0	0	0	Sign44	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	玩家城市	0.0;0.0
544	雁门 4	192	192	雁门 4.Scene	PCity.path	PCity_Level_4.WCollision	shaolin.jpg	122	60000	PCity	0	0	0	0	Sign45	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	玩家城市	0.0;0.0
545	雁门 5	192	192	雁门 5.Scene	PCity.path	PCity_Level_5.WCollision	shaolin.jpg	122	60000	PCity	0	0	0	0	Sign46	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	玩家城市	0.0;0.0
546	生死擂台	64	64	shengsileitai.Scene	shengsileitai.path	shengsileitai.Wcollision	shengsileitai.jpg	122	60000	shengsileitai	0	0	0	0	Sign46	MiniMap_Icon	YiPinTang_Normal	MiniMap_Icon	YipinTang_Hover	玩家城市	0.0;0.0
