INT	INT	INT	STRING	INT	STRING	STRING	STRING	STRING
61	10	30	如何删除任务物品	0	#Y如何删除任务物品？#r #r#W找到#G洛阳#g000000#W的#G（265，44）#R孔宗渊#W和#G大理#g000000#W的#G（80，132） #R余助之#W即可删除您身上多余的任务物品。			
62	30	40	如何去玩家商店	0	#Y如何去玩家商店？#r #r #W在游戏中除了摆摊处可以购买玩家出售的物品，在#gfff0f0洛阳的商会#g000000#W也可以购买其他玩家出售的物品，#gfff0f0按Tab键#g000000#W打开地图之后，在洛阳的左边的城门附近会发现#gfff0f0 “商”字样#g000000#W。在此处可以购买若干种物品，而且还有方便的分类快速帮你找到你所想要的物品哦。			
63	10	30	如何参加科举考试	0	#Y已经熟悉游戏的您，在升级的同时是否想展现一下自己的才华呢？来参加科举考试吧！体现您包罗万象知识的时候到了！那么如何参加科举活动呢？#r #r#r#cfabf8f科举考试：#r#W参加科举考试，回答对问题的时候不但可以获得经验，还有一定几率获得一些特殊物品。如果您能闯入第二轮的话，那么将会有更大几率获得特殊物品，如果在第二轮当中您又取得了前三名，不但有状元、榜眼、探花等称号，还会有丰厚的奖品哦。#r在科举当中一共有20个考官分布在大理的各地，每个考官有10道题目需要你回答哦，如果你顺利的回答完一个考官的题目，系统将会指示你下一个考官的位置。#gfff0f0（请注意右上角小地图上的绿色指针）#g000000#W。#r科举活动每天都会进行，每天的考试时间为：#gfff0f0第一轮：17：30～20：30，第二轮为21：00～21：30#g000000#W。#r#W只有#gfff0f010级以上#g000000#W的玩家方可参加科举。#r科举的排名是以#gfff0f0答题花费的总时间#g000000#W为标准的，所以答题的早迟并没有什么关系，所以您可以在活动时间内找个轻松的时候来参加科举。#r回答失败也没什么关系，每个人在参加科举考试的时候均有#gfff0f010次答错的机会#g000000#W，如果这个#gfff0f0机会花完#g000000的话，您就不能再参加此次科举考试了。#r每顺利的回答完考官的10道题目，那么您将会#gfff0f0多获得一次可以答错的机会#g000000#W。#r参加科举的时候要在#gfff0f0一定时间内完成答题#g000000#W，否则考官会认为您这题回答失败。#r偷偷的告诉你一下，每个考官还可以贿赂一次，只需要花费#gfff0f0一个金币#g000000#W，贿赂之后这题就算您通过了。#r只有第一轮#gfff0f0花费时间最少的前10位玩家#g000000#W才能进入第二轮继续参加科举，同样在第二轮中花费时间最少的玩家将会获得：#gfff0f0状元、榜眼、探花#g000000#W的称号。			
64	5	10	如何得到修炼生活技能的材料	0	#Y如何能得到修炼生活技能的材料？#r #r#cfabf8f有两种方式可以得到修炼生活技能的材料：#r第一：杀怪掉落。#r第二：使用自身已有的生活技能进行制造。			
65	1	20	如何使用江湖指南	0	#Y如何使用江湖指南？#r #r如果想知道您本级需要做什么，打什么怪，可以查看江湖指南，江湖指南绝对是您#gfff0f01～20级#g000000#W必不可少的经典典籍，江湖指南就在您的包裹中，#gfff0f0右键点击#g000000#W它就可以使用了！如果您的江湖指南丢失了，或者没有江湖指南，那么可以到#gfff0f0大理四大善人之一#g000000#W的#G（160，156）#R赵天师#W那里去#gfff0f0免费#g000000#W领取，或是通过点击游戏主页面右上角小地图上的#G绿色卷轴形按钮#W直接查看。			
66	5	10	如何赚取零花钱	0	#Y做为新人来说，想赚钱？就这么容易！#r #r#cfabf8f任务介绍：#r#W洛阳马上要开蹴鞠大会了，邱行洛有一些信件需要送给洛阳的一些人，你只要帮他，他一定会给你好处的。从邱行洛那里接到任务，按#gfff0f0Alt+Q#g000000#W打开任务界面，可以看到你要去找的人。同时在右上角你看到小地图了吗？边缘有个#gfff0f0绿色的小三角#g000000#W，那个小三角所指的方向就是你要去找的人的方向。另外你点#gfff0f0Tab键#g000000#W打开当前场景地图，按住#gfff0f0鼠标右键#g000000#W不放可以上下左右拖动地图，在地图上找到闪烁的标记，那就是你要去送信的对象，怎么样？比较容易吧？试试看吧！			
67	20	25	如何学习骑乘陆行雕的技能	0	#Y如何学习骑乘陆行雕的技能？#r #r到#G洛阳驿站#g000000#W旁的#G（135,178）#R田骁鸣#W处可以学得#gfff0f0骑乘陆行雕#g000000#W的技能！不过条件是您的骑乘技能达到#gfff0f01级#g000000#W。			
68	30	35	如何领取“惩凶”任务	0	#Y如何领取“惩凶”任务呢？#r #r #cfabf8f任务介绍：#r#W等级达到#gfff0f030级#g000000#W后可以去#G苏州#g000000#W找#G（126，133） #R吴玠#W，从他那里领取#gfff0f0惩戒凶徒#g000000#W任务后，他会给你的一个#gfff0f0惩凶令#g000000#W，右键点击物品，可以获得凶徒们所在场景与坐标。按指点的场景找到坐标，再次右键便看到我们要惩戒的凶徒了，不要客气给他一些颜色，击败他后，你可以获得经验与金钱，有一定几率可以获得#gfff0f0藏宝图#g000000#W。#r为了褒奖各位侠士的义举，朝廷决定前#gfff0f05次#g000000#W实施#gfff0f0奖励翻倍#g000000#W机制，好机会不要错过哦！既能扬名又可以获得不少财富，您何乐而不为呢？			
69	1	5	如何学习烹饪技能	0	#Y如何学习烹饪技能？#r #r#cfabf8f烹饪是一种非常实用的生活技能！#r#W在#G大理（116，156）#R杜子飞#W、#G苏州（189，173）#R智化#W和#G洛阳（134，152）#R李大嘴#W，都可以学习#gfff0f0烹饪技能#g000000#W。#r #r#cfabf8f学习烹饪技能的条件是：#r#W玩家的等级为#gfff0f01级#g000000#W即可。#r #r#cfabf8f烹饪材料分为：#r#W杂物：钓到的鱼、野外野兽掉落的肉等材料。#r谷物：种植出来的小麦等材料。#r杂物在烹饪之前需要先加工为#gfff0f0食材#g000000#W。烹饪出来的食物不但可以恢复生命或者气，某些任务当中有时也会要求烹饪制作出来的产品。			
70	40	55	如何进行装备打孔	0	#Y装备可以打孔，打孔以后可以镶嵌不同的宝石，来提升你装备的属性！那么如何进行装备打孔呢？#r #r#cfabf8f装备打孔：#r #r#W使用装备打孔材料并花费一定的金钱就可以在装备上打出孔来，装备上有了孔之后才能镶嵌各种宝石。#gfff0f0每件装备最多只能打3个孔#g000000#W。#r #r#cfabf8f装备极限打孔：#r #r#W使用特殊打孔材料并花费一定的金钱就可以在#G楼兰（220，229）#R程咬铁#W处将装备打出第4个孔，第4个孔上亦能镶嵌各种宝石。#r#G注：只有装备说明中写有可以极限打孔的装备才允许进行。#W#r #r#cfabf8f可打孔装备：#r #r#W以下为可打孔装备列表：#r武器、衣服、帽子、护腕、鞋子、项链、腰带、戒指、护身符、护腕、护肩、暗器。#r #r#cfabf8f注意：#r#gfff0f0装备打孔是有几率会失败的哦#g000000#W！			
71	40	55	如何进行宝石合成	0	#Y低级宝石可以合成高级宝石！你要不要试一试？#r #r#cfabf8f宝石合成条件：#r #r#W必须为#gfff0f0同种的宝石#g000000#W方可进行合成。#r#W每次合成放置的物品必须#gfff0f0大于两个#g000000#W。#r#W合成的材料#gfff0f0最高等级为9级#g000000#W。#r#W宝石合成的时候记得加上#gfff0f0宝石合成符#g000000#W，否则成功率不能达到100％。#r#W合成的时候放入宝石越多，成功的几率则越高。#r#W当然如果您对自己的运气很有信心的话，也可以只放入3颗宝石进行合成。#r#W越高级的宝石增加的数值越多。			
72	40	55	如何进行宝石镶嵌	0	#Y宝石可以镶嵌到你的装备上帮助你提升装备属性哦！#r #r#cfabf8f宝石镶嵌条件：#r #r#W如果装备上没有孔，则无法镶嵌宝石。#r不同的种类的宝石要镶嵌在不同的装备上。#r#W同一件装备上同类型的宝石只能镶嵌一个。#r#W没有#gfff0f0宝石镶嵌符#g000000#W和#gfff0f0极率之珠#g000000#W会导致镶嵌的成功率大幅下降，同时会导致镶嵌失败之后宝石消失。而加入#gfff0f0极率之珠#g000000#W 会大大提高镶嵌的成功几率！#r宝石的等级越高，所需要的宝石镶嵌符的等级越高。			
73	40	55	如何进行宝石摘除	0	#Y如果您对您镶嵌在装备上的宝石不满意，也可以摘除下来，不过宝石会有消失的危险哦！#r #r#cfabf8f宝石摘除条件：#r #r#W没有#gfff0f0宝石摘除符#g000000#W将无法摘除宝石。#r要放置带有宝石的装备才可以进行摘除。#r宝石摘除后，对应的孔将会变空。#r宝石摘除后，宝石的等级将会下降2级，小于等于2级的宝石直接消失。			
74	10	15	如何进行装备修理	0	#Y装备使用的时间过长，耐久度就会下降，记得一定要修理哦！#r #r#cfabf8f装备修理条件：#r #r#W装备使用的时间过长，耐久度就会下降，如果装备的耐久度下降为0，那么这件装备即使装备在身上也不会起作用了，所以需要进行修理。当然，越高级的装备修理起来就越费劲，如果装备的修理#gfff0f0失败次数到3#g000000#W的时候，那么这件装备将会#gfff0f0直接消失#g000000#W，所以在修理高级装备的时候请小心。			
75	11	16	如何进行装备刻铭	0	#Y武器和装备本身也是有灵性的，想让你的装备以你之名流传后世吗？去进行装备刻铭吧！#r #r#cfabf8f装备刻铭条件：#r #r装备刻铭需要特殊材料——#gfff0f0刻铭符#g000000#W。#r已经刻铭的装备不能重复刻铭。#r刻铭成功率为100%。#r刻铭后的装备在死亡的时候不再掉落。#r刻铭的装备不可以交易给其他玩家。#r装备刻铭之后将会增加基础属性值10％。			
76	12	17	如何进行装备强化	0	#Y武器和装备本身也是有灵性的，想让你的装备更强吗？来进行装备强化吧！#r #r#cfabf8f装备强化的条件：#r #r#W装备强化需要#gfff0f0地煞强化精华#g000000#W或#gfff0f0天罡强化精华#g000000#W。#r强化等级升高后，如果强化失败，强化等级将会降低。			
77	10	20	如何进行装备资质鉴定	0	#Y武器和装备本身也是有灵性的，装备的资质越高，装备能力数字提升的越高！#r #r#cfabf8f装备资质鉴定的条件：#r #r#W如果您需要辨识的装备没有资质，无需辨识。#r如果您的装备已经辨识过了，不需要再次辨识。#r资质评价装备分为：普通、优秀、杰出、卓越、完美、无资质（即所有的资质均为0）几种。#r #r#gfff0f0资质可以提升装备的基础属性#g000000#W。			
78	1	10	如何使用钱庄	0	#Y钱庄可以让你存更多的物品，好好利用吧！#r #r#cfabf8f钱庄：#r#W点击#gfff0f0打开钱庄#g000000#W，你就可以进行钱庄的操作了，可以存取物品与金钱。#r钱庄中金钱的#gfff0f0存放上限#g000000#W为：玩家等级*玩家等级*10000（身上可携带金钱也为此值）。#r #r#cfabf8f储物箱：#r#W除了系统给予的1个钱庄储物箱之外，玩家还可以再购买2个，当然价格不同。#r点击#gfff0f0购买储物箱#g000000#W，这时会询问你并告诉你花费，点确定如果你的金钱够，你就多了一个储物箱了。#r买到后，再次打开钱庄，会看下方多了个小箱子的图标，点击图标为储物箱之间切换。#r #r#cfabf8f其他储物物品：#r#W在战斗时，有时候一定几率可以打到#gfff0f0行囊#g000000#W与#gfff0f0格箱#g000000#W，只要装备上，分别可以增加自己的物品栏与材料栏。等级越高的行囊与格箱，增加的空间越多哦。			
79	15	25	珍兽如何学习技能	0	#Y想必你已经知道了如何给珍兽宝宝学习一个新的技能，那么现在就到#G洛阳（182，157）找到#R云渺渺，让你的宝宝学会更多更强大的技能吧！#r#r如何让珍兽学会七技能：#r#r#W珍兽宝宝可以学会的七个不同的技能，包括两个#G手动技能#W和五个#G自动技能#W。珍兽在学习一项新技能时，并不一定是直接掌握技能，而很大的可能是在学习新技能后将原有的技能替换。#r需要提醒你的是，手动技能分为#G破军类#W和#G开阳类#W两大类，只有不同类的手动技能不会互相顶替，珍兽在第一次学习第二项手动技能时，需要花费主人#G99金#W。#r破军类技能包括：#r#G冰天雪地、烈火燎原、血毒万里、五雷轰顶、咆哮、极冰凝杀、劫火焚杀、腐毒蚀杀、玄雷击杀、圣爆（高级圣爆）、血爆（高级血爆）、冰爆（高级冰爆）、附身（高级附身）。#r#W开阳类技能包括：#r#G净化（高级净化）、重生（高级重生）、共生（高级共生）、治疗（高级治疗）、肉墙（高级肉墙）、神佑（高级神佑）、嗜血（高级嗜血）、血祭（高级血祭）、伪装（高级伪装）、解穴、清醒、明目、轻灵、固元、洒脱。#r #r#Y珍兽领悟技能：#r#W每只珍兽在潜意识中都会一些技能的，在战斗升级时，它们会有一定几率领悟这些技能的。			
80	25	35	如何提升珍兽悟性	0	#Y悟性的提升，让你的珍兽更加聪慧！#r #r #cfabf8f提升珍兽悟性：#r#W珍兽在出生时悟性全部为0，珍兽的悟性对珍兽的资质影响有加成，对珍兽的等级能够高出人物等级的级别有影响，不同的悟性等级影响珍兽资质的百分比以及增加的等级。#r提升珍兽的悟性需要有另一只珍兽来做为材料。#r做为材料的珍兽有以下要求：#r甲：非变异珍兽。#r乙：携带等级不能小于要提升悟性珍兽的携带等级。#r丙：根骨不能小于要提升悟性珍兽的悟性。#r另外，在提升悟性时，有一定几率会失败，失败后会降低珍兽的悟性，视当前悟性所降至的悟性不同，当悟性提至到4、7、9时，失败亦不再回退。无论提升成功与否，做为材料的珍兽都会消失。			
81	40	55	如何修改发色	0	#Y个性化的头色颜色让你更俱无穷魅力！#r #r#cfabf8f染发：#r#W只需要有#gfff0f0染发剂#g000000#W与一点点金钱，我就可以帮你染发，拖动那三个滑条。可以改变颜色，右方你的头像显示颜色效果。			
82	40	55	如何修改发型	0	#Y不同的发型展现你的个性，使江湖中的你更与众不同！#r #r#cfabf8f绾发：#r#W要绾什么样的发型，就需要什么样的#gfff0f0发型图#g000000#W，当然我也要收取小小的一点费用。如果没有发型图，我是帮不了你的哦。			
83	10	60	如何参加棋局	0	#Y参加棋局活动，比谁杀的快！#r #r#cfabf8f 棋局活动时间：#r #W棋局活动时间为#gfff0f0每天中午11：30到14：30以及每天晚上20：30到22：00#g000000#W。请各位找#G洛阳#g000000#W的#G（271，88）#R王积薪#W或#G苏州#g000000#W的#G（174，147）#R张弈国#W或#G大理#g000000#W的#G（274，95）#R刘仲甫#W参加活动。#r#gfff0f0注意：活动必须要有3人以上组队方可参加#g000000#W。#r #r#cfabf8f棋局活动内容：#r#W在棋局活动当中，将会不断的刷新出棋子，棋子在一定时间内如果没有被杀死，那么将会自动转化为棋魂，棋魂的攻击比较高哦。杀死所有的棋子和棋魂之后，将会出现远古棋魂，挑战胜利之后将会获得额外的奖励哦！#r#W在棋局当中一共会刷新#gfff0f0200个棋子#g000000#W，而且刷新的速度将会越来越快。#r#W棋子如果在从刷新算起的#gfff0f0一分钟内#g000000#W没有死亡的话，其将会变化为棋魂。#r#W棋魂的#gfff0f0攻击力比较强#g000000#W，而且经验比较少；棋子的#gfff0f0防御比较强#g000000#W，但是经验比较多。您觉得杀哪种划算呢？#r#W随着棋子刷新数量的增加，刷新的速度#gfff0f0将会越来越快#g000000#W。所以将能用上的技能都用上吧，考验你火力的时候来到了！#r#W远古棋魂出场的时候不要慌张，只要注意自己的生命数值，应该不会有什么问题的，但是要#gfff0f0小心棋王的技能哦#g000000#W。#r#W杀死远古棋魂之后将会有#gfff0f0各种特殊的物品奖励#g000000#W，至于是什么，您自己做一次就知道了。不过也得看人品啊！			
84	30	45	如何参加华山论剑	0	#Y参加华山论剑，争取门派荣誉！#r #r#cfabf8f华山论剑：#r#W华山论剑每周四、日15：00到16：00举行，每个门派派出一定的选手参与，获得胜利的门派可以在下个活动举行前，每天的前一轮师门任务奖励可以由2倍变为3倍哦！#r#W每个门派只能有#gfff0f030人#g000000#W参加，所以在门派内部一定要协商好让哪些人参加哦！#r#W华山论剑只有#gfff0f030级以上#g000000#W方可参加，所以如果您的等级过低，还是抓紧时间练级吧！#r#W在活动当中每杀死一个其他门派的玩家，就可以#gfff0f0获得一点的门派贡献度#g000000#W，用门派贡献度您可以兑换奖励或者兑换门派的称号。#r#W活动当中可以通过休息场地的NPC传送进战场，或者传送出华山论剑的地点回苏州城#r#gfff0f0累计杀死其他门派最多人次#g000000#W的门派将会获得胜利，所以怎么保存自己的力量而多消灭敌人就值得参加活动的人好好研究了。			
85	40	80	如何参加比武大会	0	#Y比武大会，谁是最强者！#r #r#cfabf8f比武大会：#r#W参加比武大会之后，将会随机抽出两个玩家捉对厮杀，胜利者将会进入下一轮，不过失败了也没关系，系统将会提供一些经验作为补偿。#r#W注意参加比赛的时候需要缴纳#gfff0f01G#g000000#W的报名费，所以前来参加的时候千万不要忘记带钱啊。#r#W不要害怕斗不过高级的玩家，比武大会按照玩家的不同等级进行分组，每#gfff0f010级#g000000#W一组。#r#W每组最多只能有#gfff0f064位玩家#g000000#W参赛，所以您得一定提前到报名地点参加报名哦。#r#W只有#gfff0f040级以上#g000000#W的玩家方可报名参加，如果您的等级不够，那就赶快抓紧时间升级吧。#r#W当取得进入下一轮的资格的时候一定要记得#gfff0f0即时报名#g000000#W哦！否则您的对手会因为您的缺席而自动进入下一轮。#r#W每次活动的时间是有限制的，请注意系统的提示，一定要在截止时间之前解决战斗，否则将会被#gfff0f0双双淘汰#g000000#W。#r#W如果您走的越远，那么您失败的时候可以获得的#gfff0f0经验补偿越多#g000000#W。#r#W获得每组的冠军不但有特殊物品奖励，而且还可以获得#gfff0f0“比武大会状元”#g000000#W的称号，当然2、3名也是有奖励和称号可以领取的哦。			
86	30	50	如何结拜	0	#Y寻找知己闯江湖！#r #r#cfabf8f结拜：#r#W双方的友好度达到一定程度之后就可以结拜了，结拜之后不但由可以自己定义的称号，而且结拜的双方在组队练级的时候还有经验加成。#r#W结拜的时候双方必须已经互相加为好友，而且双方的#gfff0f0友好度必须达到1000#g000000#W。#r#W结拜的时候需要缴纳#gfff0f010个金币#g000000#W，不过对金钱来说，友情是无价的。#r#W结拜#gfff0f0不分男女#g000000#W哦！只要你觉得可以，都可以结拜。#r#W结拜之后双方在一起练级的时候将会获得#gfff0f0一定的经验加成#g000000#W。#r#W结拜之后一定要记得自己去领取属于自己的称号啊，而且这个称号是可以#gfff0f0自己定义#g000000#W的哦！#r#W如果过了一段时间之后，你们想让新的伙伴加入也没关系，只要你们所有的人一起组队前去#gfff0f0重新结拜#g000000#W即可。#r#W注意一起结拜的最多为#gfff0f06人#g000000#W哦。			
87	45	75	如何决斗	0	#Y潇洒决斗，快意江湖！#r #r#cfabf8f决斗：#r#W如果您和对方不想通过血腥的仇杀来解决你们之间的恩怨，那么可以通过绅士般的决斗来进行，决斗当中的一方死亡之后并不会损失经验和掉落装备。#r#W申请的一方将会花费#gfff0f0100点精力#g000000#W进行申请，目的是为了防止不断的骚扰对方。#r#W双方都同意之后就可以进入决斗啦，当然在城里实在有点有碍观瞻，还是去#gfff0f0野外#g000000#W吧！#r#W提出决斗的双方必须等级都在#gfff0f020级#g000000#W以上方可参与决斗。#r#W决斗中杀死另外一方并#gfff0f0不增加你的杀气值#g000000#W。#r#W你要提出的决斗对象必须处于#gfff0f0在线状态#g000000#W，否则无法提出决斗。			
88	40	70	如何建立帮会、申请领地	0	#Y强大的帮会，宏伟的城市，永远的友情，共同的目标！#r #r#cfabf8f建立帮会：#r#W玩家只要等级达到#gfff0f040级#g000000#W，一次性支付#gfff0f050两黄金#g000000#W，便可以拥有自己的帮会。这时帮会为0级帮，可以约好朋友加入你的帮会聊天，带着自己帮会的称号招摇过市。#r #r#cfabf8f申请领地：#r#W当你的帮会人数达到#gfff0f050人#g000000#W，再一次性交纳#gfff0f01000两黄金#g000000#W，这里你的帮会就升级为1级帮，同时可以选择拥有一块领地。这个领地有各种建筑，每个建筑有自己的功能和任务，通过完成任务的方式，可以提高领地的各项属性如：工业值、发展值、国防值、科技值、商业值、扩张值和帮会资金。这些属性的累积可以用来升级领地中的建筑，打开更多的功能与福利。			
89	30	40	连环副本	0	#Y连环副本－宋辽边境之一个都不能跑。#r #r#cfabf8f领取任务NPC：#r#gfff0f0钱宏宇#g000000#W #r #r#cfabf8f接任务的条件：#r#W玩家#gfff0f0等级>=30级#g000000#W、#gfff0f0未携带本任务#g000000#W和#gfff0f0另外两个连环副本任务#g000000#W。#r #r#cfabf8f任务目标：#r#W在#gfff0f030分钟#g000000#W内引出并杀死#gfff0f0余毒#g000000#W。			
90	20	30	水牢任务	0	#Y平叛水牢，官府奖励！#r #r#cfabf8f水牢：#r#W水牢任务每天有一定的次数限制，在平叛的过程当中有一定几率获得#gfff0f0 “漕运证”#g000000#W，持有漕运证每次漕运的时候获得的收益将会#gfff0f0翻倍#g000000#W。#r只有#gfff0f020级#g000000#W以上的玩家才能领取水牢任务。#r水牢任务每天最多只能完成#gfff0f030次#g000000#W，多了之后就不行了。#r接受漕运任务之后请往#gfff0f0太湖#g000000#W寻找#gfff0f0呼延庆#g000000#W，其大概在#gfff0f0太湖水寨#g000000#W方位，通过他才能进入水牢。#r漕运证#gfff0f0每次交漕运货物的时候将会消耗一张#g000000#W您可以自己使用，当然也可以出售给其他玩家。#r水牢任务当中，每个房间内都会有一个#gfff0f0能力相对比较强的头领#g000000#W，在平叛的时候千万要小心。			
91	1	15	如何领取双倍经验	0	#Y领取双倍经验后，可以让你升级速度更快捷！#r #r#cfabf8f领取双倍经验：#r#W玩家可以根据自己的需求不同领取#gfff0f0一、二、四小时#g000000#W的双倍经验，而#gfff0f0每周#g000000#W在#G洛阳（147，91）#R刘建明#W、#G（171，90）#R陈永仁#W，#G苏州禁军指挥使（164，80）#R沈澄#W，#G大理（182，141）#R洪大贵#W和#G楼兰（154，121）#R格鲁尔#W处最多只可以领取#gfff0f0五小时#g000000#W的双倍经验，不过除了在#gfff0f0洛阳#g000000#W领取双倍经验外，您还可以到自己帮会的#gfff0f0自建城市#g000000#W中的#G（134，50）#R武大威#W处领取双倍经验。在他那里您每周最多可以领取4小时双倍经验。#r #r#cfabf8f冻结、解冻双倍经验：#r#W如果您无法立即使用双倍经验，那么可以去#G洛阳（147，91）#R刘建明#W、#G（171，90）#R陈永仁#W，#G苏州禁军指挥使（164，80）#R沈澄#W，#G大理（182，141）#R洪大贵#W和#G楼兰（154，121）#R格鲁尔#W处先行#gfff0f0冻结#g000000#W，等到使用时再进行#gfff0f0解冻#g000000#W就可以了！#r #r#cfabf8f注意：#r#W领取双倍经验后，只有#gfff0f0杀怪所得经验会变为双倍#g000000#W，其他渠道获得的经验不会变为双倍。			
92	20	30	如何领取帮派关怀技能	0	#Y快去您帮派自建城市中的马应雄处领取帮派关怀技能吧！领取后你会受益匪浅哦！#r #r#W当您在#gfff0f0马应雄#g000000#W那里成功领取了#gfff0f0关怀技能#g000000#W后，会有公告告知您#gfff0f0力量#g000000#W和#gfff0f0灵气#g000000#W的增加幅度！#r#gfff0f0不同等级获取关怀技能的效果程度也有所不同#g000000#W。#r #r#cfabf8f领取关怀技能的条件：#r#W如果您想在#gfff0f0马应雄#g000000#W那里领取 #gfff0f0帮派关怀技能#g000000#W，那么首先要加入帮派。如果您还没有加入帮派，那么您无法享受这项福利。#r#W当帮派处于#gfff0f0低维护状态#g000000#W，无法领取#gfff0f0帮派关怀技能#g000000#W。#r #r#cfabf8f小提示：#r#W帮派#gfff0f0关怀技能每天每人只允许领取一次#g000000#W，机会难得可不要浪费了！			
93	40	70	如何学习门派骑乘	4	#Y学习门派骑术后，行动起来更为方便快捷！#r #r#cfabf8f门派骑术分为两个阶段：#r #r#cfabf8f骑术：虎#r#W学习#gfff0f0[骑术：虎] #g000000#W的条件是：#r#W玩家的等级达到#gfff0f040级#g000000#W即可。#r #r#cfabf8f骑术：白虎#r#W学习#gfff0f0[骑术：白虎] #g000000#W的条件是：#r#W玩家的等级达到#gfff0f 60级#g000000#W即可。			
94	40	70	如何学习门派骑乘	6	#Y学习门派骑术后，行动起来更为方便快捷！#r #r#cfabf8f门派骑术分为两个阶段：#r #r#cfabf8f骑术：灰狼#r#W学习#gfff0f0[骑术：灰狼] #g000000#W的条件是：#r#W玩家的等级达到#gfff0f 40级#g000000#W即可。#r #r#cfabf8f骑术：白狼#r#W学习#gfff0f0[骑术：白狼] #g000000#W的条件是：#r#W玩家的等级达到#gfff0f 60级#g000000#W即可。			
95	40	70	如何学习门派骑乘	5	#Y学习门派骑术后，行动起来更为方便快捷！#r #r#cfabf8f门派骑术分为两个阶段：#r #r#cfabf8f骑术：狮子#r#W学习#gfff0f0[骑术：狮子] #g000000#W的条件是：#r#W玩家的等级达到#gfff0f 40级#g000000#W即可。#r #r#cfabf8f骑术：白狮子#r#Wf学习#gfff0f0[骑术：白狮子] #g000000#W的条件是：#r#W玩家的等级达到#gfff0f 60级#g000000#W即可。			
96	40	70	如何学习门派骑乘	7	#Y学习门派骑术后，行动起来更为方便快捷！#r #r#cfabf8f门派骑术分为两个阶段：#r #r#cfabf8f骑术：鹤#r#W 学习#gfff0f0[骑术：鹤] #g000000#W的条件是：#r#W玩家的等级达到#gfff0f 40级#g000000#W即可。#r #r#cfabf8f骑术：金翼鹤#r#W学习#gfff0f0[骑术：金翼鹤] #g000000#W的条件是：#r#W玩家的等级达到#gfff0f 60级#g000000#W即可。			
97	40	70	如何学习门派骑乘	10	#Y学习门派骑术后，行动起来更为方便快捷！#r #r#cfabf8f门派骑术分为两个阶段：#r #r#cfabf8f骑术：黄骠马#r#W学习#gfff0f0[骑术：黄骠马] #g000000#W的条件是：#r#W玩家的等级达到#gfff0f040级#g000000#W即可。#r #r#cfabf8f骑术：青白骢马#r#W学习#gfff0f0[骑术：青白骢马] #g000000#W的条件是：#r#W玩家的等级达到#gfff0f060级#g000000#W即可。			
98	40	70	如何学习门派骑乘	12	#Y学习门派骑术后，行动起来更为方便快捷！#r #r#cfabf8f门派骑术分为两个阶段：#r #r#cfabf8f骑术：鹿#r#W学习#gfff0f0[骑术：鹿] #g000000#W的条件是：#r#W玩家的等级达到#gfff0f040级#g000000#W即可。#r #r#cfabf8f骑术：白鹿#r#W学习#gfff0f0[骑术：白鹿] #g000000的条件是：#r#W玩家的等级达到#gfff0f060级#g000000#W即可。			
99	40	70	如何学习门派骑乘	8	#Y学习门派骑术后，行动起来更为方便快捷！#r #r#cfabf8f门派骑术分为两个阶段：#r #r#cfabf8f骑术：青凤#r#W学习#gfff0f0[骑术：青凤] #g000000#W的条件是：#r#W玩家的等级达到#gfff0f040级#g000000#W即可。#r #r#cfabf8f骑术：红白凤#r#W学习#gfff0f0[骑术：红白凤] #g000000#W的条件是：#r#W玩家的等级达到#gfff0f060级#g000000#W即可。			
100	40	70	如何学习门派骑乘	9	#Y学习门派骑术后，行动起来更为方便快捷！#r #r#cfabf8f门派骑术分为两个阶段：#r #r#cfabf8f骑术：牦牛#r#W学习#gfff0f0[骑术：牦牛] #g000000#W的条件是：#r#W玩家的等级达到#gfff0f040级#g000000#W即可。#r #r#cfabf8f骑术：白牦牛#r#Wf学习#gfff0f0[骑术：白牦牛] #g000000#W的条件是：#r#W玩家的等级达到#gfff0f060级#g000000#W即可。			
101	40	70	如何学习门派骑乘	11	#Y学习门派骑术后，行动起来更为方便快捷！#r #r#cfabf8f门派骑术分为两个阶段：#r #r#cfabf8f骑术：雕#r#W学习#gfff0f0[骑术：雕] #g000000#W的条件是：#r#W玩家的等级达到#gfff0f040级#g000000#W即可。#r #r#cfabf8f骑术：白雕#r#W学习#gfff0f0[骑术：白雕] #g000000#W 的条件是：#r#W玩家的等级达到#gfff0f060级#g000000#W即可。			
